sentence,mdd,t_depth,summarizing,bigrams,words,letters,word_avg,numbers,symbols,if_question,punctuation,sym_hashtag,sym_shtrudel,sym_dollar,sym_ampersand,sym_percend,sym_star,sym_tilda,sym_math,sym_logic,sym_brackets,sym_num,sym_quotes,sym_slashes,NN,VB,JJ,PREPOSITION,DEF,CONJ,BN,NNP,NNT,TEMP,RB,CC,AT,QW,REL,PRP,IN,DTT,DT,MD,stopwords
"בחופשת הקיץ, עידן החליט לעבוד.",3.5,6,0,4,5,24,4.8,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
החברים שלו נסעו לים והלכו לבלות אבל הוא רצה לעבוד.,7.46,14,0,9,10,40,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,2,4,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3
עידן רצה לעבוד בטלוויזיה.,3.4,6,0,3,4,21,5.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
הוא מאוד אוהב את תחום הטלוויזיה.,4.17,7,0,5,6,26,4.333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,2,0,2,0,2,0,0,2,0,0,0,0,2
עכשיו צהריים.,2.0,2,0,1,2,11,5.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
עידן יושב בחדר הקטן בבניין הטלוויזיה.,5.0,11,0,5,6,31,5.167,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,4,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"עידן עובד בתכנית שמשודרת כל יום לבני נוער וקוראים לה: 
""אז מה דעתךָ?"".",9.12,19,0,12,13,51,3.923,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,8,2,0,4,2,2,4,2,2,0,2,0,0,2,2,0,2,2,0,0,2
התפקיד של עידן זה לחפש כתבות מעניינות על בני נוער בעיתון.,6.58,14,0,10,11,46,4.182,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,2,4,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,3
הוא צריך להזמין את בני הנוער מהכתבות להתראיין בתכנית הטלוויזיה.,6.54,15,0,9,10,53,5.3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,4,6,0,0,0,4,0,0,0,2,0,0,2,0,0,0,2,2
עידן עבר על כל העיתונים ולא מצא כתבה מעניינת להביא לתכנית.,7.54,15,0,10,11,47,4.273,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,4,2,0,2,0,0,2,0,0,0,0,0,2,2,0,0,2
עידן הוציא מסטיק מהקופסה ששמר במגירה שלו והסתכל על גיא.,8.2,15,0,9,10,45,4.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,4,4,2,0,2,2,0,0,0,0,0,2,0,2,0,0,0,2
גיא הוא הכתב הבָּכִיר (המנהל) בתכנית.,5.78,11,0,5,8,26,3.25,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,2,6,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1
גיא הוציא מן המגירה בשולחן שלו קופסת סיגריות.,5.0,9,0,7,8,37,4.625,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,2,4,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2
"הרבה אנשים בעבודה של עידן מעשנים, אבל עידן לא מעשן.",7.73,13,0,9,10,40,4.0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,4,2,0,2,0,0,0,2,2,0,0,0,0,0,2,0,0,3
"עידן חשב: יש אנשים שמכורים לסיגריות (מכור זה מי שמעשן כל הזמן, לא יכול בלי סיגריות).",9.06,18,0,15,16,64,4.0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,2,2,0,4,0,2,0,2,0,0,2,4,2,2,2,0,2,7
אני מכור למשהו אחר.,2.75,4,0,3,4,15,3.75,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1
"ליתר דיוק זה לא משהו, אלא מישהו.",5.0,7,0,6,7,24,3.429,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,2,2,0,0,0,4,0,2,0,0,2
"וליתר דיוק זה לא מישהו, אלא מישהי.",5.0,7,0,6,7,26,3.714,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2,2,0,0,0,6,0,0,0,0,2
"וליתר דיוק זאת לא סתם מישהי, זו בחורה שפגש ושמה נורית.",8.46,15,0,10,11,42,3.818,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,0,4,0,0,0,0,6,0,0,0,2,6,0,2,0,0,2
"אני מכור לנורית, אני כל הזמן חושב עליה.",6.0,9,0,7,8,30,3.75,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,4,0,0,0,0,0,0,0,0,4,2,2,0,0,3
עידן נזכר בפנים של נורית.,3.83,6,0,4,5,20,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
"הוא ראה בראשו את העיניים הגדולות, הכהות (השחורות), שכל כך אהב.",7.67,17,0,10,11,47,4.273,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,2,8,0,0,0,0,0,2,0,2,0,2,2,0,2,0,0,3
נורית הייתה מאוד יפה בעיניו.,2.6,5,0,4,5,23,4.6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0
הוא כל הזמן חשב על עיניה השחורות והעצובות.,6.7,12,0,7,8,34,4.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,6,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,3
"עידן חשב, שנורית עצובה כי יש לה סוד אָפֵל (לא נעים).",6.91,13,0,10,13,36,2.769,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,0,2,2,0,0,2,2,0,0,2,0,2,0,0,0,3
"אם עידן היה פחות ביישן, אולי הוא היה ניגש אל נורית, נותן לה כִּיף, ושואל בטוֹן עליז (שמח): ""הי, מותק, מה הסיפור שלך?",13.68,27,0,22,25,81,3.24,0,13,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,6,2,2,2,6,0,0,0,4,2,0,2,0,2,6,0,0,0,8
למה את כזו עצובה?,4.4,6,0,3,4,13,3.25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,2
"מה, נגמר לך הכסף?""",3.0,6,0,3,4,12,3.0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0
אבל לעידן לא היה אומץ.,5.0,6,0,4,5,17,3.4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3
עידן פחד לפנות אל נורית.,2.75,4,0,4,5,19,3.8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1
"פתאום עידן שמע את קולו של גיא, הכתב הבָּכִיר:
""יש משהו חדש בעיתונים?""",7.07,16,0,12,15,49,3.267,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,10,2,2,2,6,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,2
"עידן הצביע לעבר ערמת העיתונים שעל השולחן שלו ואמר:
""ביבי, שרה, אין חדש....הכל כרגיל"".",8.69,16,0,13,15,62,4.133,0,11,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,6,2,0,0,4,2,2,4,2,0,2,0,0,0,2,0,4,0,0,0,3
"ושוב, עידן חזר לחשוב על נורית.",4.17,6,0,5,6,23,3.833,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1
"הוא ניסה לחשוב רק על תכנית הטלוויזיה שצריך להכין, אבל לא הצליח.",8.17,14,0,11,12,50,4.167,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,2,0,0,0,2,0,4,2,0,0,2,2,2,0,0,2,5
הוא כל הזמן דמיין את העיניים הכהות והעצובות של נורית.,7.54,13,0,9,10,43,4.3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,0,8,2,0,0,0,0,0,0,2,0,0,2,0,2,0,0,4
"הוא ידע, שלא יצליח לפתוח איתה בשיחה, כי הוא ביישן.",5.82,13,0,9,10,38,3.8,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,2,0,0,0,0,0,0,2,2,0,0,2,4,2,0,0,0,4
"חוץ מזה, הוא ראה את נורית רק פעם אחת, מרחוק, ונורית לא אוהבת שמישהו שהיא לא מכירה פונה אליה בשיחה.",13.28,24,0,19,20,75,3.75,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,6,2,2,6,0,0,0,6,0,2,0,4,8,2,0,0,0,5
היא חושבת שזה אדם גַאַוְתָן שמַשְוִיץ.,4.0,7,0,5,13,25,1.923,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,4,0,0,0,0,1
"עידן הפסיק לחשוב על נורית כי גיא המשיך ודיבר: 
""כבר אחת וחצי ועוד אין לנו אף נושא לתכנית!",12.18,23,0,17,18,68,3.778,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,12,2,0,2,4,6,0,0,6,0,4,2,0,0,0,0,4,2,0,0,5
מה נגיד לצופים שלנו?,4.29,7,0,3,4,16,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,1
"שהיום אין תכנית כי לא מצאנו כתבה מעניינת?""",4.88,8,0,7,8,33,4.125,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,2,0,2,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,3
בדיוק עכשיו אופיר נכנס לחדר.,4.67,7,0,4,5,23,4.6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0
גם אופיר עובד בתכנית.,3.6,6,0,3,4,17,4.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,1
"אופיר אמר: ""זאת הבעיה שלךָ!""",3.17,6,0,4,5,19,3.8,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0
"גיא עשה פרצוף כועס והמשיך לדבר: 
""זו לא הבעיה שלי.",7.46,13,0,9,10,37,3.7,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,8,4,0,2,4,2,2,0,0,0,2,0,0,0,0,2,0,0,0,0,1
זו הבעיה של התכנית.,3.8,6,0,3,4,15,3.75,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
"אתם, הכתבים, יושבים ולא עושים כלום.",5.38,9,0,5,6,27,4.5,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,4,0,0,0,2,0,0,0,0,2,0,0,0,0,0
"מקסימום מגרשים זבובים מהפנים"".",3.2,6,0,3,4,25,6.25,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"אופיר אמר:
""הבעיה היא לבחור את מי מראיינים.",4.0,6,0,7,8,33,4.125,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,3
"אתה, גיא, החלטת שנראיין רק בני נוער שעשו משהו יוצא דופן (מאוד מיוחד) כמו נער שטיפס על הר האוורסט (ההר הכי גבוה בעולם), נערה שעובדת כדוגמנית בארצות הברית או נער שגילה פצצה רגע לפני שהתפוצצה.",21.81,43,0,34,35,147,4.2,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,26,12,4,8,8,0,0,2,12,0,4,2,0,0,10,2,6,0,0,0,5
אין הרבה בני נוער כאלו.,3.33,7,0,4,5,18,3.6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,1
אין הרבה מקרים כאלו.,3.0,6,0,3,4,16,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1
"זו הסיבה שקשה לנו למצוא נושאים לתכנית"" .",5.7,12,0,7,7,31,4.429,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,0,2,4,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,1
"גיא שאל את אופיר:
""ומה אתה מציע?",3.0,6,0,6,7,23,3.286,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,2,2,0,0,0,0,2,0,0,2,0,0,0,0,2
"שנבטל את התכנית עד שנמצא מישהו עם סיפור מיוחד ויוצא דופן?""",6.85,13,0,10,11,46,4.182,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,4,2,0,2,2,2,0,0,0,0,0,2,0,4,0,4,0,0,0,3
"אופיר נעמד מול גיא ואמר: ""לא, אני מציע משהו הרבה יותר פשוט"".",6.45,12,0,11,12,44,3.667,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,4,4,0,0,0,2,2,2,0,0,8,0,0,0,0,2,2,0,0,0,3
"""כלומר?""",2.0,3,0,0,1,5,5.0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
שאל גיא.,1.0,1,0,1,2,6,3.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ואופיר ענה: ""נשנה את הנושאים של התכנית"".",4.88,9,0,6,7,30,4.286,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,4,0,0,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2
"עידן, שעד עכשיו האזין (הקשיב) לגיא ואופיר, התערב ואמר:  
""זה נשמע מעניין"".",6.31,13,0,11,12,53,4.417,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,6,8,0,4,2,4,2,2,0,0,2,0,0,0,2,2,2,0,0,0,0
"""תודה"", חייך אופיר לעידן.",3.2,6,0,3,4,18,4.5,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"אופיר פנה אל גיא ואמר: ""מה שאני מציע , זה להכניס לתכנית שלנו גם חדשות רגילות, ולשאול בני נוער מה דעתם על החדשות האלה"".",7.33,19,0,23,23,89,3.87,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,12,8,2,2,6,4,2,2,2,0,2,0,0,4,2,6,6,0,0,0,6
"גיא ענה: ""זה נשמע מאוד יפה, אבל אתה יכול לתת לי דוגמא?""",6.09,11,0,11,12,39,3.25,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,2,6,2,0,0,0,0,2,0,0,2,2,0,0,0,4,2,0,0,2,4
"""אין בעיה"", אופיר אמר.",3.33,4,0,3,4,15,3.75,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
"""למשל החַמְסִין.",3.0,3,0,1,5,10,2.0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"כולם מזיעים, כולם מקטרים.",2.0,2,0,3,4,20,5.0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,2
"למה שלא נביא לאולפן כמה חבר'ה, שיספרו אייך הם מסתדרים עם החום ואייך הם מצליחים לעשות כֵּיף ולבלות גם כשמאד חם?""",13.85,28,0,20,23,85,3.696,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,8,8,2,4,4,4,4,0,0,6,6,0,0,6,4,4,2,2,0,0,5
"גיא חשב שזה לא רעיון כל כך טוב ואמר: 
""אתה חושב שכל עם ישראל ישמח לשמוע מה נערה או נער עושים בחַמְסִין?"".",13.04,24,0,21,25,75,3.0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,8,8,2,2,2,2,4,4,2,0,4,2,0,2,4,4,0,4,0,0,6
"אופיר ענה: ""כן!",2.0,2,0,2,3,10,3.333,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
"אני חושב שכל בני הנוער שצופים בנו ישמחו לשמוע אייך חברים שלהם, בני גילם, מסתדרים עם החַמְסִין.",10.05,18,0,16,20,72,3.6,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,4,0,6,0,4,0,0,0,0,2,4,2,4,2,0,0,2
"אחרי הכל, לתכנית שלנו קוראים 'אז מה דעתךָ' וזה הגיוני שבני נוער יביעו את דעותיהם"".",9.61,19,0,14,15,62,4.133,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,8,2,2,2,4,2,2,0,2,0,2,0,2,2,2,2,4,2,0,0,4
"שוב, עידן התחיל לחשוב על נורית.",3.6,5,0,5,6,24,4.0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,1
"הוא חשב: 
אולי כדאי שאצלצל אליה ואזמין אותה להתארח בתכנית?",7.57,16,0,9,10,46,4.6,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,2,2,2,0,0,0,0,2,0,2,0,2,2,2,0,0,2,3
"אציג את עצמי כעיתונאי שעובד בתכנית הנוער של הטלוויזיה ואשאל אם היא מעוניינת להגיע לאולפן, לשידור חי, לספר אייך היא מסתדרת עם החַמְסִין.",15.71,32,0,22,26,107,4.115,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,2,10,10,2,4,0,2,0,0,2,2,2,2,6,2,0,0,0,7
"אחרי שהיא תגיע, אני אוכל להמשיך ולשוחח איתה ולהציע לה להיפגש שוב, רק שנינו.",8.62,16,0,13,14,59,4.214,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,4,0,0,0,2,6,6,0,0,2,5
"אבל גיא הפריע למחשבות של עידן ואמר: 
""אני מודיע לךָ, שבני הנוער יפסיקו לצפות בתכנית שלנו ברגע שהם יישמעו פטפוטים על החַמְסִין.",15.41,29,0,21,25,96,3.84,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,14,12,0,6,6,2,2,2,2,0,0,2,0,0,6,4,4,0,0,0,4
הם יירדמו מרב שעמום.,3.2,5,0,3,4,16,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1
"הם יתחילו לנחור"", גיא גִחֵךְ (צחק).",3.0,5,0,5,8,22,2.75,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
"אופיר ניסה שוב: ""אז אולי לא בחרתי בדוגמא טובה, אולי צריך לערב את הנוער בחדשות קצת יותר מעניינות""
""כמו מה?""",10.95,22,0,19,20,80,4.0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,8,6,2,6,2,0,0,2,0,0,12,0,2,2,0,0,0,2,0,2,5
גיא שאל.,1.5,2,0,1,2,6,3.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
אופיר ניגש לשולחן של עידן והתחיל לדפדף בעיתונים.,6.45,13,0,7,8,40,5.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,4,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
"""למשל, יש כאן סיפור מהחיים.",3.33,7,0,4,5,20,4.0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2
"דיירים ברחוב מסוים בתל אביב, מתארגנים להַפְגָנָה נגד משרד הרווחה (משרד של הממשלה).",8.71,19,0,12,17,62,3.647,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,8,4,0,2,0,4,0,0,0,0,0,0,0,2,0,0,0,2
"הם כועסים, כי משרד הרווחה שכר דירה בשכונה לשישה אנשים עם צרכים מיוחדים.",7.6,15,0,12,13,57,4.385,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,4,4,0,2,0,4,0,0,2,0,0,0,2,2,0,0,0,3
"הדיירים הוותיקים טוענים, שהאנשים עם הצרכים המיוחדים ישפיעו לרעה על ילדי השכונה (יגרמו להם נזק).",11.0,21,0,14,15,77,5.133,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,4,4,12,0,4,0,2,0,0,0,0,0,2,2,4,0,0,0,3
