sentence,no_change,summarizing
עד למפגש עם הרופא יש להלביש את התינוק בשכבת בגדים נוספת ולוודא שהוא נמצא במקום שחומם היטב.,0,1
הנפיחות בעיניים מלוּוה לעיתים בהפרשה קלה הניתנת לניגוב בעדינות בעזרת מים פושרים.,0,1
יש כמה סוגים של סוכרת.,1,0
ומה בנוגע לזריקות אינסולין?,0,1
פעילות גופנית סדירה יכולה לעזור גם היא בשמירה על רמת סוכר תקינה ולמנוע סיבוכים מאוחרים.,0,1
"בשטח בית החולים או במרפאות, לרבות חצר המוסד בטווח של 10 מטר מהכניסה או מהיציאה ובחלקה פתוח לציבור בבית המרקחת.",0,1
זאת בניגוד להפרעה בייצור האינסולין שמאפיינת את סוכרת הנעורים.,0,1
"העובדים האלה לא מבוטחים בביטוח אבטלה, ולכן לא יכולים להיות זכאים לדמי אבטלה:עובד עצמאי - לבדיקת זכויות של עובדים עצמאיים ופרילנסרים בעקבות הקורונה לחצו כאן בעל שליטה בחברת מעטים - לא זכאי לדמי אבטלה גם אם הוא עובד בה כשכיר.",0,1
"אם המזגן פועל, כדאי שתי שכבות.",0,1
תינוק שנוהג לעשות את צרכיו בשעת ההנקה - אפשר להחליף לו את החיתול אחרי ההנקה.,0,1
מכתב באנגלית מהרופא או הרופאה המטפלים ובו ציון של כל המחלות הכרוניות שמהן סובלים.,0,1
"ואסור להשאיר את התינוק לבד במים, אפילו לא לחלקיק שנייה!",0,1
הנפיחות נעלמת לאחר זמן קצר.,1,0
"המלווה יכול להיות עו""ד, מתרגם, קרוב משפחה, חבר וכודומה.",0,1
ועדת השמה תשמש גם כ-וועדת ערר על החלטת ועדת השילוב המוסדות.,0,1
"כדאי שהתרופות שעימן נוסעים יהיו תואמות את הכתוב במכתב הרפואי – בייחוד נכון הדבר לגבי תרופות הניתנות בהזרקה ותרופות משככות כאבים ממשפחת הנרקוטיקה, למשל אוקסיקוד (Oxycod, Oxycodone), או אמ סי אר (MCR, Morphine) ביטוח נסיעות לחו""ל בכללית חו""ל מאפשר כיסוי לבעיות בריאות ולמחלות קיימות וכרוניות, אם נהנית מתקופת בריאות יציבה בחצי השנה שלפני הטיול בחו""ל.",0,1
עליהם להקפיד על נטילת התרופות הקבועות ולהימנע מפעילות מאומצת חריגה.,0,1
בימים הראשונים ייתכן שתראו כתם בצבע כתום בשתן המופרש על  החיתול.,0,1
"אם הוועדה תחליט שיש צורך באבחון ו/או בטיפול, יישלח מסרון לטלפון הנייד של אחד ההורים (אם השירות הזה ניתן במחוז שאליו אתם משתייכים).",0,1
חשוב שעור התינוק יישמר נקי.,0,1
"לנוחיותכם, ריכזנו מספר דרכים בהן תוכלו לשלם את חשבון הארנונה: הוראת קבע בבנק נפתח בחלון חדש טופס הוראת קבע בכרטיס האשראי - להדפסה נפתח בחלון חדש טופס הוראת קבע מקוון נפתח בחלון חדש סניפי הבנקים סניפי בנק הדואר – במזומן, המחאה או כרטיס אשראי מוקד תשלומים טלפוני – התשלום הוא באמצעות כרטיס אשראי במוקד התשלומים של אגף הגבייה.",0,1
חלב אם הוא המזון המושלם לתינוק.,0,1
"אין להציב במיטה בובות, מגן ראש או מצעים שעלולים לכסות את פני התינוק.",0,1
חניון ציבורי מקורה או תת קרקעי.,0,1
"לכן חשוב שכל חולה סוכרת שמטופל באינסולין יישא עימו משהו מתוק ואפילו מזרק גלוקגון להזרקה לשריר הירך, בדומה למזרקים האוטומטיים שמצויים בערכות האב""ך.",0,1
"בטיול ממושך, הסכנה העיקרית לחולי־לב נובעת מהעצמה בלתי־רגילה בפעילות היומיומית, שעלולה להפר את האיזון בו נמצאים חולי־לב יציבים.",0,1
"לאחר מכן, המזכיר יזמין אותך להיכנס לחדר, ותתבקש להציג תעודה מזהה עם תמונה.",0,1
מה זה קטואצידוזיס?,1,0
ניתן לקבל על פי בקשה את פרוטוקול הביניים ואת חוות הדעת שבוצעו על ידי המומחים השונים.,0,1
האמת שלא.,1,0
"קטואצידוזיס נגרם ממחסור חמור באינסולין וגורם לרמה גבוהה של גלוקוזה בדם וליצירת חומר הקרוי ""גופי קטו"".",0,1
גם כדאי מאוד להתקין בחדר מדחום קיר.,0,1
בועדות נפגעי עבודה ניתן למצוא את חוות הדעת באתר האישי.,0,1
הרופא יוצג לפניך בשמו ובתחום מומחיותו וכן יוצג לפניך גם המזכיר.,0,1
פגיעת איבה בחוץ לארץ פגיעה שאירעה בחוץ לארץ תוכר כפגיעת איבה אם מטרתה הייתה פגיעה בישראל או בעם היהודי.,0,1
אתה תושב חוץ ונפגעת תוך כדי ועקב עבודתך אצל מעסיק ישראלי בחוץ לארץ - לצפייה ברשימת המעסיקים לחץ כאן.,0,1
זו יכולה להיות אפילו מחלה קלה שמחוללת שינוי בדפוס הפעולה של מנגנון החיסון בגוף.,0,1
התופעה הזאת נקראת היפוגליקמיה והיא יכולה להתרחש בעקבות מתן מנה גדולה מדי של אינסולין או בעקבות דילוג על ארוחה ולעיתים אף ללא סיבה ברורה.,0,1
"מדובר בכתמי לידה אדומים המופיעים על העפעפיים, על המצח, מעל השפה ובעורף.",0,1
"תאילנד עצמה מדווחת כי מתוך אוכלוסיית התרמילאים הפוקדת אותה כיום, 15% הם מעל לגיל 55 (בהשוואה לשיעור זניח של בני הגילאים האלה לפני עשר שנים).",0,1
"סוכרת נעורים מופיעה בדרך כלל לפני גיל 30, והסובלים ממנה חייבים לקבל טיפול באינסולין.",0,1
העור של תינוק חדש הוא בדרך כלל עדין ורגיש.,1,0
חשוב לשמור על קפלים נקיים.,1,0
איך לסדר את חדר התינוק?,1,0
"שלב שני: בדיקת המצב הרפואי שלך הבדיקה מיועדת לקביעת אחוז נכות, ולא לצורך טיפול רפואי, ולכן היא אינה דומה לבדיקות שמבצע רופא משפחה או רופא מטפל אחר.",0,1
"מומלץ להציב שילוט ברור בכניסה למקום האוסר על העישון במקום, בנוסף לשילוט המחויב על פי התקנות בתוך בית העסק.",0,1
איך מטפלים בסוכרת נעורים?,1,0
לאחר הלידה ניתן להבחין לעיתים בעור התינוק בפריחה עדינה אדמדמה המלוּוה בבליטה צהבהבה במרכז.,0,1
"סוכרת נעורים מופיעה בדרך כלל בפתאומיות, לעיתים קרובות אחרי שהילד או הצעיר סבלו ממחלה נגיפית כלשהי.",0,1
לאחר קבלת ההודעה בנוגע לצורך באבחון ו/או בטיפול יש לפנות למשרד המרפאה כדי לברר על איזה מסלול אבחון וטיפול מבין שני המסלולים הקיימים המליצה הוועדה: אבחון/טיפול בתחום אחד (או יותר).,0,1
הטיפול הוא תהליך.,0,1
ללא טיפול הולם עלול מצבו של החולה להידרדר לאובדן הכרה.,0,1
"הרופא קובע את אחוז הנכות לפי ספר הליקויים, בו מופיע אחוז נכות מוגדר לכל ליקוי רפואי.",0,1
עד גיל 14 ימים צריך לבדוק שהתינוק חזר למשקל הלידה שלו.,0,1
"תנאי שני - מעמדך בישראל הכרה כנפגע פעולות איבה ניתנת רק למי שהמעמד שלו בישראל הוא אחד מאלה:אתה תושב/ת ישראל או בעל אזרחות ישראלית והפגיעה התרחשה בישראל, בשטחי יהודה שומרון (שטחים שבשליטת ישראל) או מחוץ לישראל.",0,1
"נוסף על הטיפול התרופתי יש להקפיד על תזונה נכונה, וחשוב להתייעץ עם דיאטנית לקביעת הדיאטה המתאימה.",0,1
"החוקרים מניחים שהגורם למחלה הוא הפרעה במערכת החיסון, שמסיבות לא ברורות פועלת נגד תאי הלבלב המייצרים את האינסולין והורסת אותם.",0,1
"הרשימה צריכה לכלול גם שמות גנריים של התרופות, לא רק שמות מסחריים, כך שהתרופות תהיינה קלות לזיהוי בכל מקום בעולם.",0,1
איך מטפלים בעור?,1,0
זהו המרווח הרצוי.,0,1
אנחנו מאמינים שחובתנו וזכותנו לעמוד לצדכם ולסייע לכם ככל יכולתנו.,0,1
מסיבה דומה ניתן להבחין לעיתים בנפיחות בשדי התינוקות משני המינים.,0,1
"עד לגילוי האינסולין (על ידי שני חוקרים קנדים: חתן פרס נובל ד""ר פרדריק בנטינג ושותפו למחקר ד""ר צ'רלס בסט) מי שחלה בסוכרת נעורים היה מת בתוך זמן לא רב לאחר גילוי המחלה.",0,1
לעיתים עשוי הרופא להפנות את הילד לבדיקות שמיעה וראייה לפני שהוא מפנה אותו לוועדה.,0,1
בחלק מהמחוזות תישלח גם הודעה בדואר.,0,1
לטיפת חלב מומלץ להגיע מוקדם ככל הניתן ולכל המאוחר שבועיים לאחר הלידה.,0,1
קיומן של ועדת השמה למקרים החריגים שפורטו לעיל מחייב אישור של מנהל מחוז.,0,1
פעם ביום רצוי להוציא את התינוק לחדר מחומם אחר ולאוורר את חדרו.,0,1
"את המסמך כדאי להגיש לרופא או למזכיר, הרופא יקרא את המסמך והוא יצורף לדו""ח הוועדה.",0,1
לעיתים ניתן לראות אצל בנות הפרשה דמית קלה מהנרתיק שחולפת בתוך ימים ספורים.,0,1
עלייה בשכיחות הזיהומים ובקושי רב יותר לרפאם - בשל הפגיעה בפעילותה של מערכת החיסון.,0,1
"דו""ח קלינאית תקשורת של קופת חולים (לא פרטי)/ מרפאה בעיסוק (אם רלוונטי לקשיי הילד)אבחון פסיכולוגי.",0,1
מהם גורמי הסיכון?,0,1
היכן ניתן לשלם?,0,1
נציגי שירות לקוחות – תוכלו לגשת אל משרדי אגף הגבייה בשעות קבלת קהל ולשלם בהמחאה או בכרטיס אשראי.,0,1
"כמה מילים מרגיעות (בדרך כלל...)על אף הסיכונים הבריאותיים המיוחדים לעולם השלישי, הרי שסיבת התמותה המובילה בקרב המטיילים היא, עדיין, מחלות־לב וכלי דם – כלומר: התקפי־לב ואירועים מוחיים.",0,1
"סוכרת מבוגרים, הנקראת גם סוכרת סוג 2 או סוכרת שאינה תלויה באינסולין.",1,0
"בטיול ממושך, הסכנה העיקרית היא דווקא אירועים של היפוגליקמיה (ירידה ברמת הסוכר) בשל שינוי בהרגלי האכילה ובסדר היום.",0,1
קיימים 5 תנאי זכאות לקבלת דמי אבטלה:תנאי ראשון – תושבות עליך להיות תושב/ת ישראל או תושב ארעי (בידך רישיון לישיבת קבע או רישיון לישיבת ארעי).,0,1
איך נערכים נכון לנסיעה?,0,1
בהמשך מצופה שהתינוק יוסיף למשקלו בממוצע 210-140 גרם בשבוע.,0,1
"לכל שאלה, בקשה או צורך במידע נוסף אנו עומדים לרשותכם במרכז שירות הלקוחות שלנו ב־2700* מכל טלפון או כאן באתר האינטרנט.",0,1
בעל העסק חייב לתלות שילוט האוסר על העישון במקום וכן אסור להציב מאפרות במקום בו אסור לעשן.,0,1
"אם הוועדה תגיע למסקנה שקיים צורך באבחון, אנחנו בכללית נעשה את מרב המאמצים כדי שהתהליך האדמיניסטרטיבי יהיה מהיר וממוקד ושהתהליך הטיפולי יהיה איכותי ויעיל.",0,1
"לבדיקה, הכניסו  אצבע בין הבטן לחיתול.",0,1
אם לאחר זמן מה תראו שאין שיפור - תוכלו לחזור שנית לרופא המטפל כדי לשקול את הצורך בהפניה חוזרת.,0,1
"התסמינים רבים וכוללים, בין היתר: צמא מוגבר מתן שתן רב איבוד משקל עלייה בתיאבון עייפות בחילות ראייה מטושטשת .",0,1
"איסור העישון מתייחס לכל מוצרי העישון, הכוללים בין השאר, סיגריות, סיגרים, מקטרת,נרגילה, סיגריות אלקטרוניות ואחרים.",0,1
צהבת שהולכת ומחמירה לאחר השחרור מבית החולים.,0,1
חתימה על טופס ויתור סודיות בדיקות שמיעה וראיה את המסכמים יש להגיש לשירות הפסיכולוגי החינוכי אשר נמצא בכתובת רח' שאול אביגור 1 באר שבע.,0,1
"חשוב, כמובן, להיות ערניים, אך יחד עם זאת יש לזכור שלא כל קושי של הילד הוא אכן בעיה בהתפתחות.",0,1
"ראוי להדגיש, כי בכל שלב במסלול הלימודי, לכל תלמיד קיימת הזכות והאפשרות למעבר בין מסגרות החינוך השונות, כולל השתלבות בחינוך הרגיל בהתאם להתפתחות במצבו ובתפקודו.",0,1
"כל מקום בית אבות או דיור מוגן, למעט בחדר מגורים, ובלבד שלא גר בו מי שאינו מעשן, ולמעט חדר נפרד לחלוטין שהוקצה לעישון בידי הנהלת המקום, אם הוקצה, ובלבד שיש בו סידורי אוורור תקינים והעישון בו אינו גורם למטרד בחלקים אחרים של המקום.",0,1
"אינסולין הוא הורמון חשוב ביותר שמופרש מתאי בטא בלבלב, ותפקידו לעזור לסוכר (גלוקוזה) המצוי בדם להיכנס לתוך התאים.",0,1
"מסגרת טיפולית קבועה, שבה כולם משתפים פעולה - הילד, הוריו, המטפלים המקצועיים ולעיתים גורמים נוספים - עשויה להביא לשינויים משמעותיים מאוד בתפקוד הילד.",0,1
לשאלות ניתן ליצור קשר בטלפון 08-641923,0,1
ניתן להירשם און-ליין באתר שירות התעסוקה.,0,1
בטיפול היומיומי נזקקים בדרך כלל החולים בסוכרת נעורים לזריקות אינסולין.,0,1
"גן אירועים, וכן איזור הנמצא מחוץ למבנה ומשמש את גן האירועים (להלן – אזור), למעט חלק של האזור שהוקצה לעישון בידי הנהלת המקום, אם הוקצה, ובלבד שעומד בתנאים הקבעים בחוק.",0,1
להנחיות לזכאות לדמי אבטלה בעקבות משבר הקורונה לחצו כאן באפשרותך לבדוק את זכאותך לדמי אבטלה במחשבון זכאות לדמי אבטלה.,0,1
המוקד זמין בימים א' – ה' בין השעות 08:00 – 17:00 בטלפון: 08-6206511 או 9771*מענה טלפוני ממוחשב – המענה הממוחשב זמין 24 שעות ביממה בטלפון: 1800-200-155 תשלום מקוון נפתח בחלון חדש אפליקציית CellPay – לאחר הורדת האפליקציה תוכלו לסרוק את הקוד המופיע על החשבון התקופתי שלכם ולשלם דרך האפליקציה.,0,1
פקחי אגף הפיקוח העירוני הוסמכו לביצוע אכיפה על פי החוק.,0,1
"עם זאת, יש לפנות עוד לפני כן לרופא ילדים אם מופיעים אחד או יותר מהתסמינים הבאים: עלייה לא מספקת במשקל.",0,1
"מומלץ להצטייד גם בתרשימים רפואיים העלולים להיות רלוונטיים, דוגמת תרשים א.ק.ג עדכני אם סובלים ממחלת־לב – ודרכי התקשרות (טלפון, טלפון נייד, פקס, דואר אלקטרוני) של הרופא או הרופאה הקרדיולוגים המטפלים בכם בארץ.",0,1
התינוק בוכה?,1,0
הוא ילמד כי יש מי שמקשיב לו ונענה לדרישותיו.,0,1
"בכל מקרה, אם נוסעים עם סוכרת מומלץ להתייעץ הן עם הרופא או הרופאה במרפאת־המטיילים והן עם הרופא או הרופאה המבצעים את המעקב אחר הסוכרת ולגבש תוכנית פעולה ברורה למקרה שיופיעו סיבוכים (למשל: שמות וכתובות מדויקים של מרפאות או בתי־חולים אמינים ביעדים השונים וכיצד בדיוק מגיעים אליהם).",0,1
"אולם שמחות, למעט חדר נפרד לחלוטין, אם קיים, שהוקצה לעישון בידי הנהלת אולם השמחות במפורש,אם הוקצה, ובלבד שיש בו סידורי אוורור תקינים והעישון בו אינו גורם למטרד בחלקים אחרים של אולם השמחות ושטחו אינו עולה על רבע של שטח הפתוח לציבור ובלבד שעומד בתנאים הקבועים בחוק.",0,1
"שלב ראשון: הרופא מעיין במסמכים שבתיק לפני שתוזמן להיכנס לחדר, רופא הוועדה יעיין במסמכים הרפואיים הנמצאים בתיק שלך.",0,1
"החוק אוסר עישון במקומות ציבוריים, בתי עסק ומקומות עבודה.",0,1
ועדת השמה חריגה במקרים בודדים וחריגים מאוד של שינוי משמעותי בנסיבות עשויה להידרש הפניה של תלמיד לדיון לאחר המועד הנקוב וליישום ההחלטה במהלך שנת הלימודים הנוכחית.,0,1
"מקומות שנערכים בהם אירועים והופעות תחת כיפת השמיים בהם משתתפים למעלה מ- 50 איש, למעט חצר בית מגורים.",0,1
"דו""ח רפואי / פסיכיאטרי – אם רלוונטי לקשיי הילד.",0,1
מהם התסמינים של סוכרת נעורים?,0,1
בדיקות מעבדה חשובות נוספות: בדיקת שתן לבדיקת רמת הגלוקוזה ותפקודי הכליות ובדיקת רמת ההמוגלובין הקשור לסוכר (HbA1C).,0,1
יש לו שתן כתום.,0,1
"מומלץ להציב את מיטת התינוק ליד קיר פנימי של הבית, באזור מואר  ומאוּורר.",0,1
"במסעדות, פאבים, אולמות שמחה ומקומות אחרים בהם העישון אסור, גודלו של חדר העישון אינו יכול לעלות על רבע מכלל השטח הפתוח לציבור.",0,1
כמו בכל סוג של למידה מוכרחים ליישם ולתרגל בבית את מה שנלמד בטיפולים כדי להשיג תוצאות.,0,1
במכתב צריכה להימצא רשימת כל התרופות הקבועות שנוטלים.,0,1
חודשי העבודה לא חייבים להיות רצופים ולא חייבים להיות ממעסיק אחד.,0,1
"ועדת השמה דנה בזכאותו של מי שהופנה אליה בידי הורה , מוסד חינוך מוכר, רשות חינוך מקומית, ארגון ציבורי או מי ששר העבודה והרווחה או שר הבריאות הסמיך לכך.",0,1
"לעיתים נדמה להורים שהילד אינו מתפתח כראוי (כמו ""הבן של השכנים"") ושקיים קושי התפתחותי, לעיתים הגננת היא שמצביעה על קושי של הילד או הסבתא מציינת ש""האח הגדול כבר זחל/עמד/דיבר... בגיל הזה"", ובאופן טבעי ההורים נכנסים לחרדה ומגיעים לרופא.",0,1
אם נפגעת בפגיעת איבה בחוץ לארץ ואתה זכאי לפיצוי לפי דיני המדינה שבה נפגעת או הארץ שבה אתה תושב - אינך זכאי לתגמולים לפי חוק התגמולים לנפגעי פעולות איבה.,0,1
"השיפור במצב הבריאותי של בני גילאים אלה, והעלייה בהכנסה הפנויה, למי שקרנות הנאמנות שלהם לא נמחקו בשנה האחרונה, מאפשרים לרבים לממש תוכניות וחלומות ישנים – גם לנסוע ליעדים שבעבר לא נמנו על היעדים הקלאסיים של הנוסעים מעל גיל 6",0,1
"לייעוץ זה חשוב להביא מכתב מרופא או מרופאת המשפחה, או מהרופא או הרופאה המטפלים במחלות רקע שונות - ובו פירוט מלא של האבחנות הכרוניות השונות ושל התרופות הקבועות.",0,1
שווה שהשותפים לטיול יידעו שיש לך סוכרת - וגם כיצד ניתן לעזור לך בשעת הצורך.,0,1
"כל מקום בבניין של מרכז תרבות נוער וספורט (מתנ""ס) או של תנועת נוער.",0,1
גן חיות.,1,0
"בכל מקום אחר בעסק או באותו מוסד, שאינו עונה על הדרישות המפורטות,כגון חדר מדרגות, אסור לעשן או להתיר עישון.",0,1
תלמידים עולים חדשים או תושבים חוזרים בעלי לקויות מובהקות.,0,1
בדיקת HbA1C משמשת מדד טוב של איזון הסוכרת בשלושת החודשים שקדמו לבדיקה ומשמשת כיום הבדיקה העיקרית לאיזון ולמעקב אחר המחלה.,0,1
זה מידבק?,1,0
"כאשר עולה חשד לסוכרת נעורים, יש לעבור סדרה ארוכה של בדיקות מעבדה.",0,1
חשוב להקפיד על גודל הארוחות ועל זמן הארוחות כדי למנוע חוסר התאמה בינן לבין זריקות האינסולין.,0,1
בכל שלב ניתן לבטל את הוראת הקבע באמצעות טופס ביטול הוראת קבע נפתח בחלון חדש יתרונות התשלום בהוראת קבע ישנם מספר יתרונות  המטיבים איתכם באם תבחרו לשלם באמצעות הוראת קבע בבנק או בכרטיס האשראי.,0,1
"במשרדי רשות ציבורית, משרדים ממשלתיים, בתי משפט ובתי דין, רשויות מקומיות ומועצות דתיות;השטח הפתוח לציבור בקניון, למעט בית עסק המפורט במקום אחר בתוספת זו ולמעט חדר עישון נפרד לחלוטין שהוקצה לעישון, אם הוקצה, ובלבד שיש בו סידורי אוורור תקינים והעישון בו אינו גורם למטרד בחלקים אחרים של המקום.",0,1
"אינך בעל אזרחות ישראלית, אך נכנסת לישראל כחוק לפי חוק הכניסה לישראל, או שאינך זקוק לאשרה (כגון בעלי דרכון דיפלומטי או תיירים ממדינה שישראל פטרה אותה מחובת אשרה וכו’) - ונפגעת בישראל או בשטחי יהודה שומרון (שטחים שבשליטת ישראל).",0,1
"בדיקה רפואית הרופא יחליט בהתאם לסוג המחלה או הליקוי הרפואי שלך, אם יש צורך לבדוק אותך.",0,1
"חשוב לדעת, עבודה בחלק מהחודש נחשבת לחודש עבודה מלא.",0,1
צריך לרחוץ את התינוק בין חיתול לחיתול?,1,0
"עם זאת, הנקה עשויה להיות מאתגרת בהתחלה.",0,1
בריכת שחייה לרבות החצר שלה.,0,1
"זה בסדר, זו הדרך שלו לתקשר אתכם.",0,1
מדובר בתופעה נורמלית.,0,1
האור מחיש את פירוק הבילירובין ומוריד את רמתו.,0,1
"הסיבה לקטואצידוזיס היא חוסר במנת אינסולין, מחלה זיהומית או טראומה.",0,1
כתמים כחולים באזור העכוז והגב התחתון ניתן לראות אצל תינוקות להורים בעלי עור כהה יותר.,0,1
יתרונות התשלום באמצעות הטלפון או האינטרנט גם התשלום הטלפוני או האינטרנטי עשוי להקל עליכם .,0,1
"לשם הבהרה, מאפרה היא כלי המיועד לשמש להשלכת אפר ושיירי מוצרי עישון לתוכו.",0,1
"קבלת חשבון ארנונה בדוא""ל.",0,1
"בטרקים ובטיולי שטח באזורים מרוחקים נוסף גם הסיכון של חוסר הזמינות של עזרה רפואית ממוסדת, בתי־חולים ומרפאות, ברמה שאליה רגילים בישראל.",0,1
"בחורף: שתי שכבות לבוש בחדר מחומם, שלוש שכבות לבוש כשיוצאים החוצה.",0,1
מה קורה כשאין לנו מספיק אינסולין בגוף?,0,1
"הסיבות להופעת הסוכרת אינן ידועות עד היום, אף שמדובר במחלה נפוצה מאוד שחוקרים רבים עמלים על פיצוח סודותיה.",0,1
הגלוקוזה חיונית לתאים בשל היותה חומר הגלם העיקרי ליצירת אנרגיה.,0,1
"קבלת חשבון ארנונה בדוא""למהיום ניתן לקבל  את חשבון הארנונה ישירות לדואר האלקטרוני (למייל), במקום בדואר.​תורם לאיכות הסביבהקבלת חשבון ארנונה תקופתי ללא עיכוב וללא תלות בדוארניתן לתיוק בקלותהשירות אינו כרוך בתשלוםניתן לקבל את חשבון הארנונה למייל במילוי טופסנפתח בחלון חדש​ או בהרש​מה באתר האינטרנט ​CityPayנפתח בחלון חדשחשוב להבהיר - חשבון הארנונה בדואר האלקטרוני מגיע כשהוא מאובטח ומי שאין לו הרשאה אינו יכול לצפות בפרטי השובר.",0,1
"להנקה יש יתרונות בריאותיים גם לאם לטווח הקצר והרחוק, כמו הפחתת הסיכון לסרטן השד.",0,1
תנאי הזכאות להכרה כנפגע פעולות איבה כדי להיות מוכר כנפגע פעולות איבה עליך לענות על שני התנאים האלה:תנאי ראשון - נפגעת באירוע איבהפגיעת איבה היא אחת.,0,1
"מאלה:פגיעה מפעולת איבה של כוחות אויב ,פגיעה בשגגה מידי אדם עקב פעולת איבה של כוחות אויב או פגיעה בשגגה בנסיבות שהיה בהן מקום לחשש סביר שתבוצע פעולת איבה.",0,1
בתקופת האכשרה יכללו רק חודשי עבודה מגיל 18 עד גיל 6.,0,1
"התינוק שלכם הוא יחיד ומיוחד, ובשעות הראשונות לאחר לידתו תנסו לבדוק למי הוא דומה.",0,1
"דמי אבטלה בעקבות משבר הקורונה - מידע לעובדים שכירים, מעסיקים ועצמאיים רישום והתייצבות בשירות התעסוקה תנאי הזכאות כמה זמן אפשר לקבל דמי אבטלה?",0,1
"מניעת העישון במקומות ציבוריים והחשיפה לעישון ב 7- לנובמבר 2007 , כ""ו בחשוון התשס""ח, נכנס לתוקף התיקון לחוק מניעת העישון במקומות ציבוריים והחשיפה לעישון.",0,1
"קליטת תלמיד חדש בחינוך המיוחד ועדת השילוב המוסדיות, ועדת השמה ביושבה כערר על ועדת שילוב, ועדת השמה וועדת ערר.",0,1
פגיעה חמורה בכליות עד אי־ספיקת כליות פגיעה בתחושה העצבית שעלולה להביא לפגיעות טראומטיות - בעיקר בכפות הרגליים בשל חוסר תחושה.,0,1
אפשרויות תשלום הארנונה אנו בעיריית באר שבע שואפים להקל על מחזיקי הנכסים בעיר ולכן בנינו מערכת תשלומים ידידותית לתשלומי הארנונה.,0,1
"הורים יקרים,במדריך הזה מפורט התהליך העומד בפניכם לאחר שרופא הילדים שאליו פניתם הפנה את בקשתכם לבדיקת הוועדה המקצועית שפועלת בתחום של התפתחות הילד.",0,1
"מהיום ניתן לקבל  את חשבון הארנונה ישירות לדואר האלקטרוני (למייל), במקום בדואר.",0,1
".תורם לאיכות הסביבה, קבלת חשבון ארנונה תקופתי ללא עיכוב וללא תלות בדואר, ניתן לתיוק בקלות, השירות אינו כרוך בתשלום",0,1
ניתן לקבל את חשבון הארנונה למייל במילוי טופס.,0,1
חשבון הארנונה בדואר האלקטרוני מגיע כשהוא מאובטח ומי שאין לו הרשאה אינו יכול לצפות בפרטי השובר.,0,1
