sentence,NOUN,VERB,ADV,AUX,ADJ,ADP,PUNCT,words,letters,word_avg,numbers,symbols,if_question,punctuation,sym_hashtag,sym_shtrudel,sym_dollar,sym_ampersand,sym_percend,sym_star,sym_tilda,sym_math,sym_logic,sym_brackets,sym_num,sym_quotes,sym_slashes
לצורך זה לומדים הסוכרתיים לבדוק בעצמם את רמת הסוכר בדמם.,4,2,3,0,0,1,1,10,46,4.6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"חשוב להתייצב בשירות התעסוקה בסמוך להפסקת העבודה גם אם הפסקת לעבוד מרצונך, כדי לממש את זכאותך לדמי אבטלה.",8,4,2,0,0,2,2,18,85,4.722,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"עם זאת, הנקה עשויה להיות מאתגרת בהתחלה.",2,2,1,0,1,1,2,7,31,4.429,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"תנאי שני – גילמלאו לך 20 שנה, ועדיין לא הגעת לגיל 6",4,1,1,0,0,1,1,11,38,3.455,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"עד לגילוי האינסולין (על ידי שני חוקרים קנדים: חתן פרס נובל ד""ר פרדריק בנטינג ושותפו למחקר ד""ר צ'רלס בסט) מי שחלה בסוכרת נעורים היה מת בתוך זמן לא רב לאחר גילוי המחלה.",19,0,3,1,1,4,7,35,128,3.657,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0
פגיעת איבה בחוץ לארץפגיעה שאירעה בחוץ לארץ תוכר כפגיעת איבה אם מטרתה הייתה פגיעה בישראל או בעם היהודי.,10,3,0,0,1,2,1,18,84,4.667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"דו""ח קלינאית תקשורת של קופת חולים (לא פרטי)/ מרפאה בעיסוק (אם רלוונטי לקשיי הילד)אבחון פסיכולוגי.",12,0,1,0,1,1,7,17,76,4.471,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
לאחר שתתקבל החלטה בתביעתך תישלח אליך הודעה אליה יצורף עותק מהפרוטוקול הרפואי של הוועדה.,8,3,2,0,0,1,1,14,73,5.214,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"יש להביא בחשבון, כי בנסיבות מסוימות, ובהתחשב במצב הבריאותי, הרופאים עשויים להמליץ גם לבצע שינוי מהותי במסלול, או אף לדחות את הנסיעה.",10,6,1,0,0,1,5,22,106,4.818,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
נוסעים מבוגרים רבים סבורים שחיסוני הילדות שקיבלו עדיין מגנים עליהם.,5,2,3,0,0,0,1,10,57,5.7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"כדי למנוע גירוי בעור, החליפו את החיתולים בזמן.",4,1,1,0,0,2,2,8,37,4.625,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"צהבת פיזיולוגית היא לא מחלה, אלא תופעה, ולכן אינה מידבקת.",4,0,3,1,0,0,3,10,45,4.5,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
חלב אם הוא המזון המושלם לתינוק.,4,0,0,1,1,0,1,6,25,4.167,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ב 29- למאי 2012 –ח' בסיוון התשע""ב הורחב החוק באישור ועדת העבודה הרווחה והבריאות של הכנסת ובוצעו שינויים בתוספת לחוק.",15,1,1,0,0,2,4,21,92,4.381,6,5,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0
"אצטדיון ספורט, למעט במקומות שהוקצו לעישון בידי הנהלת האצטדיון, אם הוקצו, כמפורט בחוק.",8,2,1,0,0,1,4,13,69,5.308,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"הועדה קובעת את המסגרת החינוכית בה ישובצו התלמידים לאחר שקיבלו זכאות לחינוך מיוחד במעמד ועדת השמה, וכן דנה בהעברת תלמידים בין מסגרות החינוך המיוחד.",15,4,3,0,0,2,2,24,121,5.042,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
מי לא זכאי לדמי אבטלה?,1,2,0,0,0,0,1,5,17,3.4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"נוסעים עם סוכרתתרופות וציוד: מטיילים חולי סוכרת צריכים להעריך את כמות האינסולין, המזרקים/העטים, הפדים, האלכוהול ואמצעי הניטור שבה הם משתמשים – ולקחת עימם לטיול כמות מספקת, במידה שלא יודעים אם ניתן לרכוש תרופות וציוד ממקורות מהימנים (למשל, אם מתכננים טרקים, טיולי שטח, טיפוס הרים או אפילו טיול רכב באזורים כפריים המרוחקים ממרכזי הערים הגדולות).",32,8,4,0,0,4,13,54,277,5.13,0,13,0,9,0,0,0,0,0,0,0,1,0,0,0,0,1
"אם ההתקף קשה, ניתן לטפל בו גם באמצעות הזרקה של הורמון הקרוי גלוקגון הגורם לעלייה חדה ברמת הסוכר בדם.",9,3,0,0,2,2,2,19,80,4.211,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
גני שעשועים הפתוחים לציבור.,3,0,1,0,0,0,1,4,23,5.75,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
פעילות גופנית סדירה יכולה לעזור גם היא בשמירה על רמת סוכר תקינה ולמנוע סיבוכים מאוחרים.,8,3,0,0,1,1,1,15,72,4.8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"אין להציב במיטה בובות, מגן ראש או מצעים שעלולים לכסות את פני התינוק.",8,3,0,0,0,1,2,13,54,4.154,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
אסור להציב מאפרה במקום ציבורי.,3,2,0,0,0,0,1,5,25,5.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"חנות; מסעדה, מזנון, בית קפה, לרבות כל בית אוכל, בית משקה, מועדון, דיסקוטק או מקום אחר שביןעיסוקיו הגשת מזון או משקאות (כולם להלן - בית אוכל), למעט חדר נפרד לחלוטין, אם קיים,שהוקצה לעישון בידי הנהלת בית האוכל, ובלבד שיש בו סידורי אוורור תקינים ובלבד שעומד בתנאיםהקבועים בחוק.",1,0,0,0,0,0,0,47,213,4.532,0,15,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0
"מתוכם, מהווים בני השמונים ומעלה את קבוצת הגיל הגדלה במהירות הרבה ביותר.",6,1,3,0,1,1,2,12,58,4.833,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
עד גיל 14 ימים צריך לבדוק שהתינוק חזר למשקל הלידה שלו.,5,3,0,0,0,1,1,11,43,3.909,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
עד למפגש עם הרופא יש להלביש את התינוק בשכבת בגדים נוספת ולוודא שהוא נמצא במקום שחומם היטב.,6,3,4,0,0,3,1,17,73,4.294,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"יש חשיבות לניקוי של המפשעות בזמן  החלפת חיתול, לניגוב קפלים ולניקוי הפנים לפחות פעם ביום.",10,1,2,0,0,2,2,15,72,4.8,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"לנוחיותכם, ריכזנו מספר דרכים בהן תוכלו לשלם את חשבון הארנונה: הוראת קבע בבנקנפתח בחלון חדש טופס הוראת קבע בכרטיס האשראי - להדפסהנפתח בחלון חדשטופס הוראת קבע מקווןנפתח בחלון חדשסניפי הבנקיםסניפי בנק הדואר – במזומן, המחאה או כרטיס אשראימוקד תשלומים טלפוני – התשלום הוא באמצעות כרטיס אשראי במוקד התשלומים של אגף הגבייה.",33,2,3,1,4,3,7,48,259,5.396,0,7,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0
תינוקות - יותר מאשר ילדים ומבוגרים - מתקשים לשמור על חום גופם.,5,2,1,0,0,1,3,10,48,4.8,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
גם בחורף צריך לעשות כל יום אמבטיה?,2,2,1,0,0,1,1,7,27,3.857,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
לעיתים קרובות מדובר רק בעיכוב קל הנובע מכך שלכל ילד יש קצב התפתחותי משלו.,5,2,5,0,0,1,1,14,59,4.214,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
כמו כן לומדים כיצד ניתן לתקשר איתו ולהרגיעו.,1,2,4,0,0,0,1,8,36,4.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"אם משהו לא ברור לרופא, הוא ישאל אותך.",2,2,0,0,0,0,2,8,28,3.5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"אם קיבלתם הודעה שיש צורך באבחון, תנותבו לאיש המקצוע או לאנשי המקצוע המתאימים (את המידע על כך תקבלו ממזכירוּת המרפאה שלכם).",12,3,1,0,0,2,4,22,97,4.409,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
התינוק החדש מבלה את רוב שעות היממה במיטה.,6,1,0,0,0,1,1,8,33,4.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"הגורמים יכולים להיות רבים, ובעיקר השינויים באופי המאמץ הגופני, במעלות החום, בלחות האוויר ובאלרגנים שבסביבה.",11,2,2,0,0,0,4,15,89,5.933,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
השימוש באינסולין קצר־טווח ביחד עם הארוחות מסייע מאוד בהקשר זה.,5,1,2,0,0,2,2,11,51,4.636,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
למידע נוסף קראו את המדריך לבטיחות תינוקות.,4,1,1,0,0,1,1,7,35,5.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
סוכרת נגרמת מירידה בכמות האינסולין שמיוצר בגוף או עקב ירידה ביכולת הגוף להשתמש באינסולין.,10,2,0,0,0,1,1,14,75,5.357,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"נוסף על הטיפול התרופתי יש להקפיד על תזונה נכונה, וחשוב להתייעץ עם דיאטנית לקביעת הדיאטה המתאימה.",9,3,1,0,0,3,2,16,79,4.938,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
יש לפנות למחלקת היסעים על מנת להסדיר את הנושא.,4,3,0,0,0,2,1,9,37,4.111,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"שינוי בהתנהגות הרגילה של התינוק: אי־שקט מסיבה לא ברורה הנמשך כמה שעות או, לחלופין, התינוק ישנוני, מסרב לאכול ובוכה בכי חלש.",8,3,2,0,5,2,6,22,97,4.409,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"הערה: בתי החולים, מרפאות, משרדים ממשלתיים, חניונים, גני חיות ואירועים, רשאים לקבוע אזורי עישוןבטווח של 10 מטרים מהכניסה או מהיציאה בתנאי שלא יהוו מטרד בחלקים אחרים של המקום, למעט בתימגורים/בניין מגורים.",23,3,0,0,0,3,9,32,163,5.094,2,9,0,8,0,0,0,0,0,0,0,1,0,0,0,0,1
"סוכרת של מבוגרים (סוכרת מסוג 2) מופיעה בדרך כלל בגיל מאוחר הרבה יותר, לעיתים קרובות  אצל אנשים שסובלים מעודף משקל.",9,1,7,0,0,2,4,20,90,4.5,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"האם אנחנו ""זקנים מדי"" כדי לנסוע?",2,1,3,0,0,0,3,6,24,4.0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"את התרופות יש לקחת בתיק האישי, ולא במזוודה המאופסנת בבטן המטוס.",7,2,0,0,0,1,2,11,51,4.636,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
החומר הזה מסכן את הגוף אם הוא מגיע לרמות גבוהות בדם.,5,2,0,0,0,1,1,11,41,3.727,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"אם קיבלתם הודעה מהוועדה שאין צורך באבחון, קיבלתם בעצם בשורה משמחת ומרגיעה.",7,2,1,0,0,1,2,12,61,5.083,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"יכולות להופיע נקודות שומן לבנות על האף ועל הסנטר, אך גם הן נעלמות בתוך זמן קצר.",7,3,0,0,0,3,2,16,62,3.875,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"כל מקום במוסד חינוך לרבות חדר המוסד, מגורי תלמידים בטווח 10 מטר מהכניסה או מהיציאה.",11,0,1,0,0,0,2,15,67,4.467,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"המשמעות - רווח ניכר לתושב ולסביבה, הן בחיסכון בנייר, הן במהירות קבלת המידע וכן בנוחות וביעילות המעקב אחר החשבונות התקופתיים.",15,0,0,0,0,1,4,19,101,5.316,0,4,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
"משרדי אגף הגבייה נמצאים ברח' הדסה 78, קבלת קהל היא בימים א', ב', ה' בין השעות 8:30-13:00, בימי ג' בין השעות 8:30-13:00 ו- 16:30-18:3",15,1,0,1,0,2,17,33,90,2.727,23,19,0,15,0,0,0,0,0,0,0,4,0,0,0,5,0
"שימו לב, בעקבות משבר הקורונה, יש להירשם באתר שירות התעסוקה מבלי להתייצב פיזית.",4,3,4,0,0,1,3,13,63,4.846,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
אבחון/טיפול רב־תחומי (משולב).,4,0,0,0,0,1,5,5,22,4.4,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
הטיפול באינסולין טומן בחובו סיכונים.,3,1,1,0,0,0,1,5,31,6.2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
לעיתים הוא רק רוצה את קרבתכם ואת תשומת ליבכם.,3,1,1,0,0,2,1,9,36,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
הטיפול בקטואצידוזיס כולל מתן נוזלים רבים ומתן אינסולין כדי להוריד את השיעור הגבוה של הסוכר ושל גופי הקטו שנוצרו.,12,2,0,0,0,4,1,19,93,4.895,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"עובד שכיר שמעסיקו אינו תושב ישראל או עובד בשירות דיפלומטי או קונסולרי של מדינת חוץ, יכולים להיות זכאים לדמי אבטלה למרות שהמעסיק שלהם אינו חייב בתשלום דמי ביטוח עבורם, והם משלמים את דמי הביטוח עבור עצמם.",17,4,1,2,2,3,3,36,164,4.556,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"אם למרות נקיטת צעדים אלו, אדם מפר את הוראות החוק מומלץ לפעול על פי הצעדים הבאים:הפנה את תשומת לבו של המעשן לכך שהעישון אסור במקום ולשילוט האוסר על עישון, ודרוש בנימוס לחדול מיד מהעישון או לחילופין לצאת ולעשן מחוץ למקום.",18,8,3,0,0,9,4,41,176,4.293,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"מדובר בכתמי לידה אדומים המופיעים על העפעפיים, על המצח, מעל השפה ובעורף.",7,0,2,0,0,3,3,12,57,4.75,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
שים לב!,0,0,0,0,0,0,1,2,5,2.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"והכל בתנאי שהרשות המאשרת, המתמנה על ידי שר הביטחון, אישרה שהפגיעה היא פגיעת איבה.",9,1,1,1,1,1,3,14,65,4.643,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
במקרה כזה מטפל מהתחום הרלוונטי יזמן את ההורים ואת הילד לאבחון ויקבע לילד תוכנית טיפולים אישית.,10,2,1,0,0,1,1,16,78,4.875,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
איך מטפלים בסוכרת נעורים?,2,1,0,0,0,0,1,4,21,5.25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ככלל, כדאי להיות קשובים לגוף וכשאשר מופיעים סימנים חריגים דוגמת קוצר נשימה במאמץ, כאבים בלתי אופייניים בחזה - ולא להסס ולפנות להתייעצות רפואית או לעזרה רפואית.",12,3,7,0,1,0,4,25,130,5.2,0,4,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
מה קורה כשאין לנו מספיק אינסולין בגוף?,2,1,2,0,0,0,1,7,31,4.429,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
כתמים כחולים באזור העכוז והגב התחתון ניתן לראות אצל תינוקות להורים בעלי עור כהה יותר.,8,2,2,0,0,3,1,15,70,4.667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ההחתלה נעשית בדרך כלל בצמוד לשעות ההאכלה מכיוון שהתינוק לרוב ער.,4,2,5,0,0,0,1,11,53,4.818,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ראשית, כל המשלם בהוראת קבע יקבל הנחה בשיער של 1% מחיוב הארנונה התקופתי למעט משלם אשר חיובו השנתי מעל ל-100,000 שקלים אשר לא יזוכה בהנחה אך יוכל לחלק את התשלום ל-12 תשלומים.",16,4,1,0,0,6,5,35,135,3.857,9,6,0,3,0,0,0,0,1,0,0,3,0,0,0,0,0
"דו""ח רפואי / פסיכיאטרי – אם רלוונטי לקשיי הילד.",6,0,1,0,0,1,4,8,35,4.375,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
חודשי העבודה לא חייבים להיות רצופים ולא חייבים להיות ממעסיק אחד.,4,3,0,1,0,0,1,11,53,4.818,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
במקרה כזה יוזמנו ההורים והילד לאבחון רב־תחומי ולקביעת תוכנית טיפולים אישית שתתואם בין הגורמים המטפלים.,9,2,2,0,1,2,2,16,86,5.375,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
זה נורמלי?,1,0,0,0,0,0,1,2,8,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"זה בסדר, זו הדרך שלו לתקשר אתכם.",1,1,2,0,0,0,2,7,24,3.429,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
התופעה הזאת נקראת היפוגליקמיה והיא יכולה להתרחש בעקבות מתן מנה גדולה מדי של אינסולין או בעקבות דילוג על ארוחה ולעיתים אף ללא סיבה ברורה.,12,3,1,0,0,5,1,24,112,4.667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
הודעות שיבוץ למסגרות החינוך המיוחד נשלחות להורים במשך חודשי הקיץ.,8,1,0,0,0,1,1,10,55,5.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"לעיתים נדמה להורים שהילד אינו מתפתח כראוי (כמו ""הבן של השכנים"") ושקיים קושי התפתחותי, לעיתים הגננת היא שמצביעה על קושי של הילד או הסבתא מציינת ש""האח הגדול כבר זחל/עמד/דיבר... בגיל הזה"", ובאופן טבעי ההורים נכנסים לחרדה ומגיעים לרופא.",18,8,6,0,1,3,14,41,181,4.415,0,14,0,6,0,0,0,0,0,0,0,2,0,0,0,4,2
"איסור העישון מתייחס לכל מוצרי העישון, הכוללים בין השאר, סיגריות, סיגרים, מקטרת, נרגילה, סיגריות אלקטרוניות ואחרים.",11,2,1,0,0,2,7,16,92,5.75,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
צריך להדק את החיתול לגוף?,2,2,0,0,0,1,1,5,20,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
איך בוחרים מיטת תינוק?,2,1,0,0,0,0,1,4,18,4.5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
הרופא יוצג לפניך בשמו ובתחום מומחיותו וכן יוצג לפניך גם המזכיר.,4,2,3,0,0,1,1,11,52,4.727,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
תנאי חמישי - תקופת אכשרהצברת תקופת אכשרה של לפחות 12 חודשי עבודה כשכיר מתוך 18 החודשים האחרונים לפני שנרשמת לראשונה בשירות התעסוקה.,11,1,4,0,1,2,2,21,108,5.143,4,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
מטרת הטיפול היא להפחית ככל הניתן את רמת ההמוגלובין הקשור לסוכר (HbA1C) ולשמור על רמת גלוקוזה שקרובה ככל האפשר למדד המקובל.,15,3,2,0,0,2,3,21,99,4.714,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
עד כמה היא שכיחה?,1,0,0,0,0,1,1,4,13,3.25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
הטמפרטורה המומלצת בחדר התינוק היא 24-22 מעלות צלזיוס בחורף ובקיץ.,8,0,0,1,0,0,2,11,54,4.909,4,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"אתה תושב השטחים ויש לך היתר כניסה ממפקד כוחות הצבא בשטח, ונפגעת בתחום הקו הירוק.",8,2,2,0,0,1,2,15,64,4.267,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"מי שמגיש בקשה לקבל מהביטוח הלאומי קצבה עקב נכותו, צריך להיבדק בוועדה רפואית.",7,4,0,0,0,1,2,13,62,4.769,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"אתה תושב השטחים בעל תעודת זהות ישראלית, ונפגעת בתחום הקו הירוק.",8,1,0,0,0,1,2,11,51,4.636,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
יתרונות התשלום באמצעות הטלפון או האינטרנטגם התשלום הטלפוני או האינטרנטי עשוי להקל עליכם .,7,2,0,0,1,1,1,13,75,5.769,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
צריך לרחוץ את התינוק בין חיתול לחיתול?,3,2,0,0,0,2,1,7,31,4.429,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"התופעה חולפת מעצמה, ואין צורך לטפל בה.",2,2,2,0,0,0,2,7,30,4.286,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"כדי להקל עליכם ולסייע לכם ריכזנו כאן בעבורכם מידע על המערך העוסק בהתפתחות הילד בכללית, על זכאותכם בסל הבריאות ובכללית מושלם ועל כל מה שחשוב שתדעו בשלב הזה כדי להתחיל את תהליך הטיפול בילדכם.",13,5,6,0,1,6,2,34,154,4.529,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"במקרה כזה, עליך להודיע על כך לוועדה, ותוזמן לוועדה אחרת.",2,3,3,0,0,1,3,10,44,4.4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
מהניסיון ידוע שפעמים רבות הדברים פשוט מסתדרים מעצמם.,2,1,5,0,0,0,1,8,44,5.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"אם המעשן מסרב לכבות את הסיגריה, הסבר למעשן שהוא לא יקבל שירות אם ימשיך לעשן וכי הוא מתבקש לעזוב את המקום.",6,7,0,0,0,2,2,21,83,3.952,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"לייעוץ זה חשוב להביא מכתב מרופא או מרופאת המשפחה, או מהרופא או הרופאה המטפלים במחלות רקע שונות - ובו פירוט מלא של האבחנות הכרוניות השונות ושל התרופות הקבועות.",17,2,3,0,0,1,3,27,128,4.741,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
"הועדה מורכבת ממנהלת המחלקה לחינוך מיוחד, נציג הפיקוח על החינוך המיוחד ונציג מהשירות הפסיכולוגי החינוכי.",13,1,0,0,0,1,2,15,87,5.8,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
הנפיחות בעיניים מלוּוה לעיתים בהפרשה קלה הניתנת לניגוב בעדינות בעזרת מים פושרים.,7,1,1,0,2,1,1,13,67,5.154,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
הנפיחות נעלמת לאחר זמן קצר.,3,1,0,0,0,1,1,5,22,4.4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"כמות הזריקות ותזמונן במהלך היום תלויים בסוכרתי עצמו ובתגובה שלו לטיפול, וזאת בכפוף להחלטת הרופא ועל סמך בקרה צמודה של רמות הסוכר בדם.",15,1,3,0,0,3,2,23,109,4.739,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"הוועדה כוללת רופא מומחה שתפקידו לקבוע את דרגת הנכות שלך, ומזכיר שתפקידו לרשום את דבריך ואת פרוטוקול הוועדה ולדאוג לשמירה על זכויותיך.",14,3,0,0,0,3,2,22,110,5.0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"מקלט ציבורי ומחסה ציבורי כהגדרתם בסעיף 11 לחוק ההתגוננות האזרחית, התשי""א - 1951כל מקום בבניין של בית כנסת, כנסייה, ח'ילווה או מסגד בחצר שלו, למעט חלק של האזור שהוקצה לעישוןבידי הנהלת המקום, אם הוקצה, ובלבד שאותו חלק של האזור שהוקצה לעישון אינו מקורה בדרך כלשהי,לרבות בסככה וכיוצא בזה, שטחו רציף ואינו עולה על רבע ממקומות הישיבה באזור, ושאר האזור שמורללא מעשנים וסומן בבירור שהעישון בו אסור.",36,10,9,0,1,4,13,68,312,4.588,6,13,0,11,0,0,0,0,0,0,0,1,0,0,0,2,0
"בנוסף, הורחבה ההגדרה של ""מחזיק למעשה"", האחראי לאכיפת החוק.",6,1,1,0,0,1,5,9,45,5.0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0
